Timestamp,Range_m,Velocity_mps,DOA_deg
1756394464.260646,2.1515,0.0,0.0
1756394464.5559604,2.1507,-0.0027089780872213112,-0.02708978087221311
1756394464.67679,2.1507,0.0,-0.02708978087221311
1756394464.7878807,2.1508000000000003,0.0009001656837262637,-0.018088124034950474
1756394464.9143374,2.151,0.001581568557947136,-0.0022724384554791144
1756394465.056671,2.151,0.0,-0.0022724384554791144
1756394465.1919467,2.1517,0.00517461208203312,0.049473682364852084
1756394465.2996407,2.1515,-0.001857115215595953,0.030902530208892554
1756394465.4130342,2.1507,-0.007055075303768932,-0.039648222828796764
1756394465.5415561,2.1515,0.0062246191518562505,0.02259796868976574
1756394465.6661975,2.1508000000000003,-0.005616110669031082,-0.03356313800054508
1756394465.7924337,2.1508000000000003,0.0,-0.03356313800054508
1756394465.9201198,2.151,0.0015663421428988393,-0.017899716571556683
1756394466.0351205,2.1508000000000003,-0.0017391194739027527,-0.035290911310584205
1756394466.153831,2.1508000000000003,0.0,-0.035290911310584205
1756394466.272627,2.1553,0.03788002817766148,0.3435093704660306
1756394466.3953092,2.1515,-0.03097436519319214,0.0337657185341092
1756394466.4993253,2.1512000000000002,-0.0028841698469977196,0.0049240200641320064
1756394466.601937,2.1508000000000003,-0.003898187901529596,-0.034057858951163957
1756394466.7050219,2.1512000000000002,0.0038803003915632603,0.004745144964468644
1756394466.8138177,2.1553,0.03768525014079728,0.3815976463724414
1756394466.9248915,2.1508000000000003,-0.040513629133867635,-0.023538644966234923
1756394467.0366383,2.151,0.0017897606144613718,-0.005641038821621206
1756394467.1470432,2.151,0.0,-0.005641038821621206
1756394467.2589378,2.151,0.0,-0.005641038821621206
1756394467.3752024,2.1508000000000003,-0.0017202143344865774,-0.02284318216648698
1756394467.5044498,2.151,0.0015474195863111715,-0.007368986303375267
1756394467.6173017,2.1515,0.004430587216243676,0.03693688585906149
1756394467.7271748,2.151,-0.004550706208867484,-0.008570176229613348
1756394467.8443105,2.1513,0.0025611307075283332,0.017041130845669984
1756394467.965517,2.1515,0.0016500762229603378,0.03354189307527336
1756394468.0844243,2.1512000000000002,-0.002522975620219496,0.008312136873078399
1756394468.2039459,2.1508000000000003,-0.0033466749117308956,-0.02515461224423056
1756394468.3225985,2.1508000000000003,0.0,-0.02515461224423056
1756394468.4404025,2.1507,-0.0008488672471107113,-0.033643284715337674
1756394468.5585692,2.1515,0.006770097674258325,0.03405769202724557
1756394468.6635811,2.1515,0.0,0.03405769202724557
1756394468.7711656,2.1508000000000003,-0.0065065149077407364,-0.031007457050161794
1756394469.0170875,2.1508000000000003,0.0,-0.031007457050161794
1756394469.2444115,0.0809,-9.105505439732513,-60
1756394469.3662713,0.048799999999999996,-0.26341749227671946,-60
1756394469.484966,0.0326,-0.1364845167743983,-60
1756394469.5969193,0.023,-0.0857500721943241,-60
1756394469.7110925,0.0262,0.028027599571497495,-59.71972400428503
1756394469.8232715,0.023,-0.028525827766714217,-60
1756394469.9337862,0.0326,0.08686631861446456,-59.131336813855356
1756394470.0473256,0.0262,-0.056368069312648136,-59.695017506981834
1756394470.1793308,0.0197,-0.049240478985677405,-60
1756394470.3039184,0.0197,0.0,-60
1756394470.416496,0.0262,0.05773791204718492,-59.422620879528154
1756394470.532898,0.0326,0.05498191530544315,-58.872801726473725
1756394470.653277,0.09449999999999999,0.5142094124450887,-53.73070760202284
1756394470.7677474,0.09449999999999999,0.0,-53.73070760202284
1756394470.8904746,1.4071,10.695269459063049,53.22198698860765
1756394471.0168958,1.6866999999999999,2.21165414437368,60
1756394471.1426098,0.7995,-7.057285193719501,-10.572851937195011
1756394471.2677708,1.8469,8.368425983545508,60
1756394471.3974726,0.6973,-8.863404609850205,-28.634046098502054
1756394471.5301197,0.5687,-0.969490177977648,-38.328947878278534
1756394471.6580245,0.7764,1.6238628312381633,-22.090319565896902
1756394471.783773,0.7176,-0.4676003981593658,-26.76632354749056
1756394471.918891,0.5605,-1.1626873628525956,-38.393197176016514
1756394472.04548,0.091,-3.7088513069895077,-60
1756394472.1666675,0.5661,3.920372991381024,-20.796270086189764
1756394472.2939277,0.023,-4.26763407023276,-60
1756394472.420726,0.042300000000000004,0.15221013291816388,-58.47789867081836
1756394472.5442388,0.0262,-0.13035092056751282,-59.78140787649349
1756394472.6621969,2.151,18.01318062221072,60
1756394472.804043,2.1515,0.0035249451210709886,60
1756394472.9227035,2.1515,0.0,60
1756394473.035712,2.1515,0.0,60
1756394473.1539931,1.9825,-1.4287993840038544,45.712006159961454
1756394473.2747846,2.1517,1.40076156609479,59.71962182090935
1756394473.383502,2.1513,-0.0036792624464352937,59.682829196445
1756394473.5021167,2.1513,0.0,59.682829196445
1756394473.6208632,2.151,-0.002526389845381356,59.657565297991184
1756394473.737665,2.1517,0.005993061469437985,59.717495912685564
1756394473.8517878,2.1512000000000002,-0.0043812428708093695,59.67368348397747
1756394473.9648507,2.1517,0.004422318755005773,59.71790667152753
1756394474.0962505,2.1517,0.0,59.71790667152753
1756394474.2720473,2.1519,0.0011376774779782973,59.72928344630731
1756394474.413657,2.1519,0.0,59.72928344630731
1756394474.5268862,2.1519,0.0,59.72928344630731
1756394474.6476254,2.1513,-0.004969387678533151,59.67958956952198
1756394474.8091009,2.1519,0.0037157358067669843,59.71674692758965
1756394474.9234405,2.1517,-0.0017491754157324872,59.69925517343232
1756394475.0378816,2.1515,-0.0017476230257851705,59.68177894317447
1756394475.2754076,2.1515,0.0,59.68177894317447
1756394475.4205928,2.1512000000000002,-0.0020663258620134133,59.66111568455434
